%NL12, T=500, betaT=0.990000, w=4000, maxC=200, maxP=100, maxR=5
%time (s)	cost
6.342731e-001	153177
6.459267e-001	152926
6.512249e-001	151769
1.027942e+000	143673
1.721483e+000	143643
1.794826e+000	143108
1.859848e+000	142793
1.094047e+001	141284
1.099947e+001	140732
1.813130e+001	140365
1.829409e+001	140211
1.895249e+001	139630
1.905054e+001	138965
2.031687e+001	138747
2.051771e+001	137532
2.065206e+001	136968
2.080313e+001	136504
2.089311e+001	136481
2.089914e+001	136415
2.116708e+001	136193
5.346343e+001	136036
5.347095e+001	136026
5.360058e+001	135987
5.362124e+001	135539
6.864721e+001	135165
6.906092e+001	135076
6.916000e+001	134698
6.922815e+001	134529
6.951081e+001	134219
6.999382e+001	134085
7.041038e+001	133747
7.069054e+001	133524
7.134089e+001	133488
7.137554e+001	133428
7.462878e+001	133238
7.470747e+001	132850
8.565027e+001	132536
1.119142e+002	132366
1.273052e+002	131969
1.273951e+002	130291
1.334984e+002	129538
1.345424e+002	129351
1.346628e+002	129213
1.379604e+002	128975
1.398575e+002	128604
1.403202e+002	128569
1.410677e+002	128311
1.892990e+002	128067
2.078827e+002	128049
2.149598e+002	127998
2.248356e+002	127995
2.262269e+002	127854
2.263377e+002	127326
2.289409e+002	127203
2.290132e+002	126823
2.907046e+002	126819
2.956238e+002	126613
3.084994e+002	126313
3.106096e+002	126285
3.287057e+002	125970
3.348710e+002	125953
3.720211e+002	125280
3.730265e+002	125203
3.739558e+002	125056
3.748553e+002	125039
3.768205e+002	124997
3.782932e+002	123908
3.916411e+002	123672
3.916663e+002	123129
3.969211e+002	122937
3.979233e+002	122928
4.424808e+002	122922
4.427543e+002	122845
4.463733e+002	122689
4.666427e+002	122549
9.796022e+002	121809
9.812680e+002	121750
