%NL12, T=400, betaT=0.999000, w=10000, maxC=3000, maxP=1500, maxR=10
%time (s)	cost
2.982300e-01	154231
4.138930e-01	153740
4.572710e-01	153684
4.726950e-01	153482
1.042037e+00	149502
1.158217e+00	147704
1.172082e+00	147697
1.449959e+00	147301
1.758270e+00	147131
1.888614e+00	146736
2.338164e+00	146292
2.383797e+00	145725
2.627704e+00	145242
2.670020e+00	144903
2.721251e+00	144438
3.027616e+00	144160
3.092050e+00	143334
3.113705e+00	143131
3.128919e+00	142983
3.583796e+00	142714
3.986430e+00	142631
4.709909e+00	142493
4.763360e+00	141415
6.817843e+00	140718
6.838837e+00	140707
1.026076e+01	139986
1.027663e+01	139872
1.320934e+01	139222
1.322105e+01	138915
1.358361e+01	137852
1.539452e+01	137796
1.866676e+01	136703
4.243095e+01	136458
4.257563e+01	135664
4.266441e+01	135615
4.268761e+01	135578
4.288617e+01	135222
4.288920e+01	135185
4.299062e+01	134704
4.301797e+01	134493
4.306135e+01	134306
7.965866e+01	134174
7.972955e+01	133800
7.979022e+01	133576
8.494523e+01	133512
8.574694e+01	133430
1.910862e+02	133349
1.918257e+02	133120
1.920125e+02	132841
1.920514e+02	132726
1.920614e+02	132723
1.920815e+02	132599
2.064392e+02	131010
2.745274e+02	130701
2.745925e+02	130699
4.246838e+02	130630
4.254598e+02	130589
8.536279e+02	130506
8.562055e+02	130488
8.569533e+02	130335
8.569725e+02	130234
1.106214e+03	129967
1.108100e+03	129604
1.255676e+03	129344
1.258037e+03	129273
1.258241e+03	128722
1.269954e+03	128603
1.270138e+03	128196
2.337603e+03	127518
2.338147e+03	127335
2.339457e+03	127263
2.339940e+03	126602
2.339945e+03	126363
6.788034e+03	125796
6.788162e+03	125780
6.788601e+03	124966
1.182956e+04	124786

