%NL12, T=500, betaT=0.990000, w=4000, maxC=200, maxP=100, maxR=5
%time (s)	cost
9.893373e-001	153177
1.001517e+000	152926
1.006916e+000	151769
1.486276e+000	143673
2.432214e+000	143643
2.504296e+000	143108
2.568427e+000	142793
1.538434e+001	141284
1.550444e+001	140732
2.617571e+001	140365
2.645888e+001	140211
2.752418e+001	139630
2.770987e+001	138965
2.943243e+001	138747
2.986630e+001	137532
3.006404e+001	136968
3.028720e+001	136504
3.041306e+001	136481
3.042877e+001	136415
3.085925e+001	136193
7.340298e+001	136036
7.341730e+001	136026
7.363334e+001	135987
7.368519e+001	135539
9.476673e+001	135165
9.540104e+001	135076
9.554576e+001	134698
9.570814e+001	134529
9.606091e+001	134219
9.673885e+001	134085
9.730114e+001	133747
9.766397e+001	133524
9.867998e+001	133488
9.872701e+001	133428
1.037628e+002	133238
1.038678e+002	132850
1.184107e+002	132536
1.547542e+002	132366
1.789003e+002	131969
1.790887e+002	130291
1.873774e+002	129538
1.888939e+002	129351
1.890640e+002	129213
1.929609e+002	128975
1.956189e+002	128604
1.964111e+002	128569
1.976054e+002	128311
2.641106e+002	128067
2.864381e+002	128049
2.930287e+002	127998
3.028255e+002	127995
3.042599e+002	127854
3.043598e+002	127326
3.068049e+002	127203
3.068688e+002	126823
3.663157e+002	126819
3.711936e+002	126613
3.835334e+002	126313
3.855222e+002	126285
4.030366e+002	125970
4.089441e+002	125953
4.441709e+002	125280
4.451235e+002	125203
4.460076e+002	125056
4.468310e+002	125039
4.486246e+002	124997
4.500788e+002	123908
4.627258e+002	123672
4.627469e+002	123129
4.676995e+002	122937
4.686136e+002	122928
5.108526e+002	122922
5.111383e+002	122845
5.145985e+002	122689
5.339432e+002	122549
