%NL6, T=400, betaT=0.990000, w=4000, maxC=100, maxP=100, maxR=2
%time (s)	cost
3.401235e-002	28864
4.063931e-002	28667
1.120246e-001	27849
2.644799e-001	27833
2.754020e-001	26850
5.307995e-001	26300
6.149568e-001	26031
6.206814e-001	25854
7.736032e-001	25270
7.799129e-001	25145
7.842692e-001	25051
2.309179e+000	24958
2.996280e+000	24863
3.075668e+000	24828
3.097295e+000	24793
3.167475e+000	24755
8.560043e+000	24702
8.590056e+000	24553
2.061631e+001	24497
3.244919e+001	24349
3.291418e+001	24306
3.326430e+001	24133
3.344862e+001	24128
3.365286e+001	24110
3.368062e+001	24073
