%NL12, T=600, betaT=0.999500, w=10000, maxC=4000, maxP=1385, maxR=50
%time (s)	cost
5.078808e-001	150879
5.160054e-001	150551
5.272980e-001	149721
5.335604e-001	149688
6.263812e-001	147837
1.325908e+000	147829
1.331134e+000	147130
1.332686e+000	146877
2.202073e+000	146342
2.220967e+000	146187
2.225715e+000	145600
2.330342e+000	144740
2.483291e+000	144525
2.486793e+000	144089
3.459864e+000	143541
3.463038e+000	142330
3.554065e+000	141631
3.624625e+000	141554
4.763366e+000	141493
7.406090e+000	141302
7.616214e+000	141246
8.603281e+000	141200
8.701139e+000	140490
8.772560e+000	140453
8.775735e+000	140447
8.793754e+000	139883
3.418176e+001	139690
7.878462e+001	138525
1.277947e+002	137992
1.278445e+002	137907
1.278673e+002	136907
5.142222e+002	135728
5.143855e+002	135412
5.866399e+002	135205
5.866419e+002	134855
5.866470e+002	134818
1.759632e+003	134293
7.900092e+003	134080
7.900098e+003	132925
1.391824e+004	131894
