%NL12, T=500, betaT=0.990000, w=4000, maxC=200, maxP=100, maxR=5
%time (s)	cost
6.633270e-001	153177
6.831060e-001	152926
6.901657e-001	151769
1.050976e+000	143673
1.703542e+000	143643
1.757308e+000	143108
1.875778e+000	142793
1.056991e+001	141284
1.062454e+001	140732
1.758868e+001	140365
1.774382e+001	140211
1.836749e+001	139630
1.846937e+001	138965
1.967192e+001	138747
1.986540e+001	137532
1.999281e+001	136968
2.013943e+001	136504
2.022217e+001	136481
2.022686e+001	136415
2.048949e+001	136193
5.068678e+001	136036
5.072531e+001	136026
5.088176e+001	135987
5.093297e+001	135539
6.567669e+001	135165
6.610872e+001	135076
6.623226e+001	134698
6.632506e+001	134529
6.667356e+001	134219
6.718084e+001	134085
6.771059e+001	133747
6.798107e+001	133524
6.861993e+001	133488
6.868096e+001	133428
7.187540e+001	133238
7.199538e+001	132850
8.304222e+001	132536
1.078464e+002	132366
1.228082e+002	131969
1.229207e+002	130291
1.288395e+002	129538
1.299025e+002	129351
1.300524e+002	129213
1.331384e+002	128975
1.351772e+002	128604
1.357056e+002	128569
1.366133e+002	128311
1.836638e+002	128067
2.015045e+002	128049
2.082550e+002	127998
2.176252e+002	127995
2.189734e+002	127854
2.190952e+002	127326
2.215287e+002	127203
2.216079e+002	126823
2.813924e+002	126819
2.861674e+002	126613
2.988220e+002	126313
3.009061e+002	126285
3.186555e+002	125970
3.247174e+002	125953
3.607061e+002	125280
3.616923e+002	125203
3.626138e+002	125056
3.634724e+002	125039
3.653759e+002	124997
3.667890e+002	123908
3.795956e+002	123672
3.796590e+002	123129
3.846874e+002	122937
3.857153e+002	122928
4.278472e+002	122922
4.281308e+002	122845
4.316648e+002	122689
4.511306e+002	122549
9.868808e+002	121809
9.889585e+002	121750
