%NL16, T=400, betaT=0.999900, w=60000, maxC=10000, maxP=7100, maxR=50
%time (s)	cost
7.049082e-001	431053
7.346543e-001	430812
8.983613e-001	420112
9.756459e-001	417997
1.001329e+000	417590
1.244316e+000	414383
1.285531e+000	414265
1.527408e+000	411258
1.636322e+000	411178
1.752811e+000	411048
1.758184e+000	411019
1.778922e+000	410258
2.306369e+000	409103
2.360070e+000	409040
2.574089e+000	407426
2.631358e+000	406478
2.643444e+000	406198
3.391533e+000	404636
3.444529e+000	404631
3.583592e+000	402520
3.763863e+000	401342
3.796121e+000	399949
4.684273e+000	399839
4.732398e+000	399665
5.727292e+000	397650
5.786856e+000	396724
5.799677e+000	393068
6.046987e+000	391621
6.086347e+000	391048
6.110501e+000	390643
6.326864e+000	390423
6.339308e+000	390356
6.620534e+000	385930
7.158166e+000	380762
7.218989e+000	380212
7.778023e+000	379055
9.681543e+000	378484
1.008564e+001	378360
1.015622e+001	378339
1.032272e+001	378185
1.168976e+001	377381
1.171122e+001	377376
1.574567e+001	376522
1.611834e+001	376464
1.619918e+001	376314
1.626997e+001	376157
1.627702e+001	375854
1.630580e+001	375775
1.634532e+001	374809
1.643575e+001	374067
1.644024e+001	373657
1.644731e+001	372361
1.655242e+001	371685
1.805760e+001	371677
1.807691e+001	370182
1.807913e+001	370057
1.811536e+001	369433
1.835051e+001	365739
1.855118e+001	365365
1.858707e+001	364021
1.894838e+001	362079
1.897239e+001	360960
2.811567e+001	360932
2.813375e+001	359128
2.819447e+001	357970
2.830467e+001	357689
3.700978e+001	356981
4.831066e+001	356487
4.840826e+001	356451
5.407117e+001	356352
5.683669e+001	356287
5.689109e+001	355788
5.703718e+001	355565
5.834260e+001	355385
5.837056e+001	354615
5.872862e+001	353781
5.965151e+001	352693
6.228818e+001	351746
6.250803e+001	350700
6.712726e+001	350378
6.802625e+001	350254
6.913183e+001	347910
6.917472e+001	347782
7.025636e+001	347724
7.033714e+001	347530
7.041070e+001	347502
7.049187e+001	347279
7.479272e+001	346244
7.538002e+001	346149
7.553327e+001	345198
7.614333e+001	344490
7.617464e+001	344488
8.369012e+001	343108
8.656073e+001	342832
9.056507e+001	342803
1.090154e+002	342375
1.100962e+002	341653
1.103291e+002	340896
1.178265e+002	339800
1.179069e+002	338780
1.631208e+002	338669
1.632560e+002	338668
1.635989e+002	338048
1.655278e+002	337659
1.656731e+002	337073
1.657881e+002	337020
1.881780e+002	336927
2.078221e+002	336032
2.078811e+002	335923
2.079482e+002	335874
