%NL12, T=500, betaT=0.990000, w=4000, maxC=200, maxP=100, maxR=5
%time (s)	cost
2.802554e+002	123231
2.818143e+002	123204
2.820738e+002	123176
2.824576e+002	123084
2.836054e+002	123040
2.836197e+002	122996
2.852579e+002	122991
2.862747e+002	122916
3.188406e+002	122419
3.222799e+002	122397
3.494335e+002	122368
3.543702e+002	122031
3.549439e+002	121748
3.726230e+002	121720
3.787851e+002	120941
3.793953e+002	120656
3.794827e+002	120376
3.799019e+002	120360
3.915390e+002	120251
3.921412e+002	120123
3.924631e+002	119819
3.939276e+002	119807



%NL12, T=500, betaT=0.990000, w=4000, maxC=200, maxP=100, maxR=5
%time (s)	cost
6.680514e-001	153177
6.792621e-001	152926
6.841512e-001	151769
1.055921e+000	143673
1.699504e+000	143643
1.753114e+000	143108
1.792899e+000	142793
1.075027e+001	141284
1.080560e+001	140732
1.763333e+001	140365
1.779594e+001	140211
1.842421e+001	139630
1.851969e+001	138965
1.972487e+001	138747
1.991890e+001	137532
2.004847e+001	136968
2.019607e+001	136504
2.027868e+001	136481
2.028344e+001	136415
2.054282e+001	136193
5.165745e+001	136036
5.166525e+001	136026
5.178020e+001	135987
5.180631e+001	135539
6.632109e+001	135165
6.672894e+001	135076
6.682603e+001	134698
6.689164e+001	134529
6.715871e+001	134219
6.763628e+001	134085
6.803468e+001	133747
6.827683e+001	133524
6.890873e+001	133488
6.894457e+001	133428
7.206605e+001	133238
7.214462e+001	132850
8.270777e+001	132536
1.077705e+002	132366
1.227555e+002	131969
1.228429e+002	130291
1.285853e+002	129538
1.296166e+002	129351
1.297340e+002	129213
1.327807e+002	128975
1.346418e+002	128604
1.350964e+002	128569
1.358256e+002	128311
1.826772e+002	128067
2.000734e+002	128049
2.067208e+002	127998
2.160622e+002	127995
2.173835e+002	127854
2.174914e+002	127326
2.198746e+002	127203
2.199369e+002	126823
2.781671e+002	126819
2.827670e+002	126613
2.950081e+002	126313
2.970030e+002	126285
3.140607e+002	125970
3.198797e+002	125953
3.547677e+002	125280
3.557273e+002	125203
3.566245e+002	125056
3.574695e+002	125039
3.592782e+002	124997
3.606549e+002	123908
3.731529e+002	123672
3.731742e+002	123129
3.781247e+002	122937
3.790415e+002	122928
4.210487e+002	122922
4.213073e+002	122845
4.246812e+002	122689
4.439018e+002	122549
9.382517e+002	121809
9.399071e+002	121750



%NL12, T=500, betaT=0.990000, w=4000, maxC=200, maxP=100, maxR=5
%time (s)	cost
4.256000e+000	147809
1.014882e+001	143133
1.617599e+001	142947
1.624472e+001	142388
2.521092e+001	142129
4.381412e+001	142044
4.427833e+001	139676
5.772718e+001	134162
1.013553e+002	133948
1.017824e+002	133198
1.018121e+002	132748
1.266320e+002	132631
1.266813e+002	132545
1.291664e+002	132373
1.291884e+002	132136
1.293099e+002	131964
1.293454e+002	130792
1.293579e+002	130791
1.302569e+002	130147
1.304841e+002	129201
1.305037e+002	128650
1.471506e+002	127920
1.475863e+002	127245
1.924900e+002	126754
1.925375e+002	126005
1.927027e+002	125478
1.945032e+002	125145
1.945700e+002	125135
1.946934e+002	124694
1.947118e+002	124541
1.947706e+002	124524
1.948162e+002	124381
2.006242e+002	124255
2.034128e+002	124233
2.042475e+002	124179
2.043878e+002	124121
2.858029e+002	123604
2.859154e+002	123562
2.860260e+002	123515
2.901291e+002	123231
2.916386e+002	123204
2.918764e+002	123176
2.922477e+002	123084
2.934932e+002	123040
2.935096e+002	122996
2.953098e+002	122991
2.963782e+002	122916
3.295383e+002	122419
3.330061e+002	122397
3.607000e+002	122368
3.657128e+002	122031
3.663060e+002	121748
3.843845e+002	121720
3.906386e+002	120941
3.912583e+002	120656
3.913456e+002	120376
3.917797e+002	120360
4.037252e+002	120251
4.043006e+002	120123
4.046158e+002	119819
4.060555e+002	119807



%NL12, T=500, betaT=0.990000, w=4000, maxC=200, maxP=100, maxR=5
%time (s)	cost
6.492264e-001	153177
6.615119e-001	152926
6.668259e-001	151769
1.030561e+000	143673
1.676719e+000	143643
1.730695e+000	143108
1.774621e+000	142793
1.048223e+001	141284
1.054045e+001	140732
1.724495e+001	140365
1.739665e+001	140211
1.799829e+001	139630
1.809228e+001	138965
1.929243e+001	138747
1.948463e+001	137532
1.961753e+001	136968
1.976505e+001	136504
1.984786e+001	136481
1.985260e+001	136415
2.010716e+001	136193
5.064782e+001	136036
5.065551e+001	136026
5.076941e+001	135987
5.078744e+001	135539
6.509703e+001	135165
6.549579e+001	135076
6.559047e+001	134698
6.565444e+001	134529
6.591951e+001	134219
6.639322e+001	134085
6.679085e+001	133747
6.702942e+001	133524
6.764751e+001	133488
6.768196e+001	133428
7.071013e+001	133238
7.078566e+001	132850
8.119967e+001	132536
